OBJECTID,SITE_ID,NAME,ADDRESS,DEPT,PROGRAM,PROGRAM_NO,ASSGNBYDON,URL,NUMPLOTS,DATE_ESTAB,SE_ANNO_CAD_DATA,SIZE_SQFT,IN_ROW,LOCATION,AFFILIATION,AFFILIATION_URL,x,y
65,45,Thyme Patch Park,2853 NW 58th St,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/thyme-patch-park,14,2003,System.Byte[],4800,No,NW 58th St / 30th Ave NW,,,1255625.72425856,248544.248370558
66,29,Hillman City,4613 S Lucile St,GROW/Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/hillman-city,43,1994,System.Byte[],18500,Yes,S Lucile St / 46th Ave S,,,1284503.44966413,204870.681413844
67,7,Magnuson Park,7400 Sand Point Way NE,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/magnuson-park,128,1977,System.Byte[],174240,No,NE 74th St / Sportsfield Dr NE,,,1289451.2487092,252349.350454465
68,21,Beacon Food Forest,3950 15th Ave S,SPU,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/beacon-food-forest,27,2014,System.Byte[],27000,No,15th Ave S / S Dakota St,,,1275174.39935057,210610.415179715
69,42,Roosevelt,7012 12th Ave NE,DON,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/roosevelt,29,2003,System.Byte[],3500,No,NE 71st St / 12th Ave NE,,,1275372.38917477,251526.005173624
70,68,High Point Juneau Garden and Market Garden,5900 32nd Ave SW,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/high-point-juneau,18,1999,System.Byte[],5000,No,32nd Ave SW / SW Juneau St,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/high-point,1260161.3376392,204398.82336536
71,69,High Point MacArthur Lane Park Garden,2726 SW MacArthur Ln,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/high-point-macarthur-lane-park,11,2009,System.Byte[],2531,No,SW MacArthur Ln / High Point Dr SW,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/high-point,1261007.88631207,204612.144005582
72,57,Rainier Vista Sunrise Garden,4450 Renton Ave S,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/rainer-vista-sunrise-garden,24,2013,System.Byte[],7100,No,S Oregon St / 33rd Ave S,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/rainier-vista,1280420.38412395,208830.626633897
73,65,NewHolly 29th Ave Garden,29th Ave S / S Brighton St,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/new-holly-29-ave-garden,9,2001,System.Byte[],2000,No,,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/newholly,1279166.89337066,200915.417153791
74,66,NewHolly Power Garden,7123 Holly Park Dr S,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/new-holly-power-garden,23,2003,System.Byte[],2400,No,Holly Park Dr S / S Myrtle Pl,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/newholly,1281095.22450864,199749.221056595
